
> study_of_devin@1.0.0 extract-passwords
> node extract_passwords.js

username,password,password_hash
user1,password123,$2a$06$znYg5G7ipUAvtglcFKtOk.P767B5/h9majS5C5G5fYo4eGNEWytUm
user2,default2,$2a$06$xV4lgto1c1yEPJgkyDO2seONDD7D9FVTMXbEBowO/g6AGREZ23iYK
user3,default3,$2a$06$s23AXff37MZ37aLe95EKv./gqFThxwES.cpN7YsQLodbJta5jRCxe
user4,default4,$2a$06$1iMovIH7amFqRvdXVKfk0OiX2ZldEBCBm/dKYEaFJubkYW/cQyb8u
user5,admin2024,$2a$06$wPi56fa6nIY13oYnX8WE3uS7e07IY7xGxC./pn0ySFj7K6XQ36FLW
user6,default6,$2a$06$RewjCKvVy2uCwLKXMoPQQOXnvMm38zZOwDfymxNN/lO0Nn1A/KVSi
user7,default7,$2a$06$GseerKOG/5IY63exarDRbeTUpjdXqYHB1SL60rlyHuhfl06cwur.q
user8,default8,$2a$06$TeDPN0KRRhCzCLAz5Sf2o.cJIEG.T1xK4R5RDn/ZzgTREGxKkQTRe
user9,default9,$2a$06$XvpQ7aF3pRwA6RtMdjVt4.hBLt8vegxITXEGW5ZbsCYSaZltSuTVu
user10,qwerty789,$2a$06$s94kk1vNhk8sbqzds3eknOBJ7WfaScgIeJD0P3gKuJzpzfaPPxXza
user11,default11,$2a$06$Pk8S1zu5jRu.hgJ10MD/geICGvFoRF8reCi7mpAXMeH87yyihx25O
user12,default12,$2a$06$kEhKYTQ38vjto4FNyVcTTutijm.totgHdRwKXaz2og8IKlF0q2V.S
user13,default13,$2a$06$QkYHRU6jCYsv1PL/AlunxuoEbBEJWS3UJ08WyuwFn3BgB/lxPiZvK
user14,default14,$2a$06$s/JnG4aX8nf4/cztofkd7uXSWA.g8yj5qG3RcPCB7p2LIXmj3rPNa
user15,welcome01,$2a$06$rkwcbqmPOM7jApQNVsv49.0ptd3b.pt143UbxyGbJCzyHD4jqBMfW
user16,default16,$2a$06$4wHSE.kaEHe9HtVch2Bgq.CFSkgmnwJ/v3SRKguUdQJfLN5Qoi1De
user17,default17,$2a$06$YE1AM9S5j3m7iGKPffJZB.2XVgXm/XJ9.1YkyjjjnR4/oS3I6Ht1C
user18,default18,$2a$06$gV0gwZdzhrKHyZ5C3kStAu81RXW0Z4cD8nUBiO6EQSZNG0d96K2Ga
user19,default19,$2a$06$R0H02aLzjoUGcsGBsHgI0OdNmpcB0DsSKlmXsQts5rrpcBd1X0bSe
user20,test1234,$2a$06$2rptpBIwdN7qB2s3EyOlwunivf7RXlAqummYaeMGsGAKqtiMPDloy
user21,default21,$2a$06$dEDrY8RrVtn1zhNmJoV/futFrXDEe3eIV3uWoFTzu18O6fSOB/GrK
user22,default22,$2a$06$Z.o7ndMNxJiSprsOZ1VTjuj12K9hnX0.oVuuAfuxJYr.OyP29.wfG
user23,default23,$2a$06$nn56nMQ6TkGRtExnOUhXduPteVKqI.ltYuv7wjsvReVEqGx2ugrkm
user24,default24,$2a$06$XxwKU4R4OjBkqRRjVHOeQekqXcE3uZazW2NurTel.N4nPb6U.78Ny
user25,secret99,$2a$06$m89mYUlzHfaYHoS1lHd0MOcK6l3kcWyypLNxtBiQx.fQFHTCjxfZi
user26,default26,$2a$06$1fBkdZnmd7tht7cu9PBTw.edAxW1n.uxT2r3MTN9vR1tHvlkNEa.S
user27,default27,$2a$06$1NUNUPlhHJwhKW2H0ixEf.3TT3s/IS1hZOVMF9NVxxMqdYog0gMT6
user28,default28,$2a$06$bKgT9innu0WZ5k6t8ZzKXOKLB37R972ce.DkAFPreXqkDe5V76wy6
user29,default29,$2a$06$Q4QijzXX0rQMpoafiLjq.etUu0XiMajwDnj0id8HTfiH71dtnq9.m
user30,hello2024,$2a$06$aS/q0Em7vtqOzIS0UjwRpOCd88gmG0IoUUiG3CYIMcCADlni8o1rS
user31,default31,$2a$06$KMc0I4OOlIF2Pn7Fi0Aak.Z7B5X6qoGuKNCCCOF9QoPVnvkfih0oG
user32,default32,$2a$06$kXH7qM5o4j9Gr5RjOx5uUOKBqd9V4BUxGH0T6ZE0tb6Am7goAOV3a
user33,default33,$2a$06$CHgYauFe59tSaJPii3C1NuOlqLnYzjo05YLoFqj5qqtHl5jRZPn/W
user34,default34,$2a$06$QjxFvoFcutEQA27QynW36O4ceoMbkiQnG2Hwa9StAyRXxZ.Y7uFIa
user35,pass4567,$2a$06$KSpof6YyBayBiX1uq6Xpme1DHGfgxBswVJpBUyudMgP8Hobv8cadu
user36,default36,$2a$06$az.bZO88ZzH1G5qBe3FzCeNvduydAuRo9JtLu6U0LDFRw0WQXfXL.
user37,default37,$2a$06$yeHhW2ZBJqcaRy3JHc52BOAIKKdkxTqat7L0i.sJZfmGwhISBhuiS
user38,default38,$2a$06$cL6w59N9hAhBNzt6jT3RV.9UqUYHisxP2zqG955q.MaieqH0xvJ9a
user39,default39,$2a$06$ygNULTka84GeMy8fTxAgI.wPiQc8HMWRJmnA/5BWRixONVLKTVIpi
user40,user1234,$2a$06$t/iY7Mfcg/8HVex4XiHgH.ZQhqaXFgUyzWabkI62J79k/A6z8NeTG
user41,default41,$2a$06$XQq1ctVjDlNes.PDnKcgpuTEretn41prDoRg8I/JEPK48ouFMQ3oC
user42,default42,$2a$06$pNNoTJzEexXs7pK/0Uy.7.rLBNzjkihlp3uiYdnRXJOlP1FFyenKi
user43,default43,$2a$06$sWoSVNTP1C9bFWn5.unJiep2eYtR3RsJuCuQ.LMNX9q9U.zZSzdYS
user44,default44,$2a$06$ll0JlgfxlsY0n5gxnVPR1eECZjre/dVIAJ/KsRX0a8c/IvTRG4FLO
user45,login123,$2a$06$dBw6IjYaMgGm6ERVbIU5UO/.TA.Mv977PlOVYkeQGuAiSWsFt2buS
user46,default46,$2a$06$77JLTMQTXW/Cd/NV80TluORbI1Ajg0uNQxTER1EPTyZx/BCgNUCa6
user47,default47,$2a$06$.UNTMZhkkc5vwsaWo2DxZOYW2HeO65u2IqWZpEafWZkH6WAfHiK9u
user48,default48,$2a$06$5ryHi3JhP4LXBP9U8eREQO/0pJQ8bVqn9dR.J87A4UT7dEJ7hEKdW
user49,default49,$2a$06$aqkPP8Be7sh8a24c0TRcZuaCrPk1u2dypXPolkLpXCMmSQ2xQirOS
user50,demo2024,$2a$06$utEpqF2NZ8ULaUoMwlmYpe12z9hxNMkZncozFDDgcvK6m7eLFzvA2
user51,default51,$2a$06$Y7gqZ5BZYyPF3B1/Nvpl3OCBankn07YMLMWj.mi9e8L3SMlRoqhZy
user52,default52,$2a$06$Ht6.gVSvcd4HkhJrZrwr2uXFeJiuu27mb8Y5dZFrhYU4VA3kJqMqe
user53,default53,$2a$06$Kkey9wmM44tNPKn3czqy4ev2LAPDSDy5GN5PNX9aYGXgJkLzUyePu
user54,default54,$2a$06$fnH9p6eHcWL1/YAGh7n.TukibZllU3vHPh8K40iOY4Hd42gt2xlxy
user55,sample99,$2a$06$8QNJo0GMlZ2TJ7.UmtHMVuImlMukXjWSFsqdCCoQBfKPR3WkHugSW
user56,default56,$2a$06$dXJoO4XAUat1GkHZljdqGug1UUd6qoujuacBeb5AvMDJGLa7OKiDm
user57,default57,$2a$06$i1jpvAPHnLCQE02SQe7L8.AnC7E.IIb5Fa.l8cU7Xr1d3Tf2/VF2C
user58,default58,$2a$06$89yC1DnZf5vV.7b7U122cuBXqVA9uUavzL6ZsCRGI9ou6mIsdvW5.
user59,default59,$2a$06$xtp/WwGseTBGatmnqaJzheu0Cy1proIcmDOM8UzYWeWfHQWjW37bq
user60,access01,$2a$06$/bqrC/5rlakWzol6cguZoedkyI3iA1DVjAiLQ2jpT.2PuedRu/Pcq
user61,default61,$2a$06$bn9IF855skeDGgf/whN44e1paRHw5NUKva9kcheUatUGttsfRAYcK
user62,default62,$2a$06$Iyw26dL9M4jXCIReFuw/n.BYTXivfp/QWkhQEWlVIi0fIFgrqItEm
user63,default63,$2a$06$KnsN.iYu9JeinTBJuqrNC.HWywLQY7OcHvyIJGaHPxSlic7dWN62G
user64,default64,$2a$06$2tupANsTY3EXwnJA6YtbFu3ahJ.t6vdh29z9VFY1gdV7QTUoaK8U2
user65,secure22,$2a$06$6mT5lYBEg0d.GPoB8hRyTez1/XplXBSBcV1tOr.IIamOwVUUzp8Xq
user66,default66,$2a$06$BW7RsYoC4IwfzsoeTZANOe7mBgyKkd0qOyY6/kDacmJpsCH2iEwNq
user67,default67,$2a$06$6EbbvcgEQ0aOI7BRoSMJ1ebbwYBsTeMrGz00XBU2eY3hwVvMR0M4S
user68,default68,$2a$06$2o.AMwCzP9oFJ7FvBPYtZuH8rxraTesg9i7UbOLoIo69Damau4d0O
user69,default69,$2a$06$PjZy.r6AQKG06QOFPWMPA.dNl/z9UcgmQg9hls5elNalBrBixquvq
user70,simple88,$2a$06$BlAYBMofmkDN/vms7mYSBu52oq69kuNPdL7.elO8xdfNZoHq5BK5a
user71,default71,$2a$06$aAqWayd1Yp1vIEgpCc6ttuxMW6o8UNhz0U0q/QXR9PG/LJiB6hefG
user72,default72,$2a$06$btmL.xn5BA09WeGBEHoUgOOZzSFaBgTVMa.fcbkdtsbUEW2Am4l9S
user73,default73,$2a$06$vT.5ftCW0NHnJp9jIAt5JuRF7ZVhIuZn7Oi54SFl/aAFuDtgG/0Iu
user74,default74,$2a$06$nJxkMydQU/2RrI6O8.JZjegRf3xJZ9gCPG.kxR/6gw7bLqs9nJeyO
user75,basic456,$2a$06$BIxTqyy/8NSAJ/nbRoBDEuDq1gh4btzpa6lyP4e0XlMBrlIk.ToTa
user76,default76,$2a$06$Y1GeOKS1Of2ZzF/TTmvA0.TIUDfQSArodh1SteTdkHUPuhlz9kEyS
user77,default77,$2a$06$WmUzHUfzS089CnmuxA7T0ORjsW8MVVA.UsRDSMqsTBqbDLET0bCOO
user78,Fnoa734r-wefd,$2a$06$JwQGp52IS94ysOX3uIERieaaLizyAXUFJET9FEhSEWVUvpNwILFfi
user79,default79,$2a$06$Z/7RTHw9pDgxvGmNdyOMjuMzRCvhF/pIn8QS363XbT7DF7doy0Eau
user80,study123,$2a$06$LQ/52SWtylyjrk06TBXzDeMox.EckNux/sGcw7.V7jIw7cgqV0VSK
user81,default81,$2a$06$JD6JFLJVEFxSY.N7ut4JMe4MyxFNaFLa50/.ZAzHCXGRbHP/MzNfm
user82,default82,$2a$06$GxZ5CCaODyj32QsmQyUUXesxwrhED30EGhchJFLPw2wyJMNBJ5lsW
user83,default83,$2a$06$sRWl4Ckt7MyhJtHOo/VCm.aEmrpG9kT6iSqc9CVe2QvwvLuhUBGse
user84,default84,$2a$06$lNji8h9c0M0Ndy0p7lAHeebwzs8/GyXW8TlBLRkkv8sBXrOJrYXEW
user85,train456,$2a$06$WDeN49P3gp6m60TMO2qKP.6p7RZG/O0s7wfKnDYeWK7b8JsSy9GNC
user86,default86,$2a$06$0rF6nt875/rwDVgc77lhu.qgGP5S7vV9W2oHGdnUmFAhsB1rVUdwu
user87,default87,$2a$06$DT9LIspmskcKTdFD0p.SMO.fCe1unr6qrbdAR4Awql.SBx0LZbJrO
user88,default88,$2a$06$9Xmv7mmspXhsFZLEhSz0r.3RD4S0soorTJeQDkMwDMCecC.AJA3Yi
user89,default89,$2a$06$0mELOsbVHt7eR8IVpYRmH.8X8j1qO3tq72ynv6r.u.pRd9ORWlH22
user90,learn789,$2a$06$GSlIqLxO/YgtiD6YLiQF/u1Cx55aMk.tJPl4BtzARxsylIHGIxliu
user91,default91,$2a$06$6n/0nrQI00LlY9ZzjgUTZeS9RMXN3Slp6QOHOcLh0eZwzmZ4gxxJ6
user92,default92,$2a$06$Fsi5vRLcB9cGU4f5zQGOQuDulDPvz73uwCIK5BPsLkeehnSBI6K3G
user93,default93,$2a$06$ql5UPDZOmdh6gFsT/U7kOu7VNk6EpSFIaVLhgvqa33FCEduE4gsea
user94,default94,$2a$06$RFnWjDBmrA0j8BlbD0FhzeHEq4f52mUOrHw9tRz8Eq5HpDDLY/Lnq
user95,practice1,$2a$06$dcFqghdyuV1JwROOcciE2OnRFAdQvcoJ2pnX0MGQy1KgPF9K12LlC
user96,default96,$2a$06$9DgKo8L8lwFUVRPIVU3fYuJUQws53BkxYrEmRt9T59szIA4jvn2Bi
user97,default97,$2a$06$qs1inTeZ5wESxW1XKyYr2OeoWe6bGWKFW.7y5J/DuNxSlMprRIS2.
user98,default98,$2a$06$PKsBtPIuH14WhVCDqbHI9ukYlyuQsqaG5.bmohCsj1v554Ioa28XO
user99,final999,$2a$06$cDD.4CTGWJEtaeXZ7audZOvM2dtt8FM3kPxY0InkFb.Qk1RsYpo.S
user100,default100,$2a$06$9EDVfqoUTYx2LDEaLWdhZeiGm0E.fVhg6YqdxF3I6r3eqL/otR4Ia
